resolve_location,safetypark_location
100 Venice Way Parking,100 Venice Way
102 Washington Parking (Arbor  2),102 Washington Blvd
102 Washington Parking (Arbor 2),102 Washington Blvd
102 Washington Parking (Arbor),102 Washington Blvd
11801 W Olympic Blvd Parking,11801 W Olympic - Sport Chale
1218 1/2 Lincoln Blvd Parking,1218 1/2 Lincoln
121 Windward Parking,121 Windward - BOA Venice
124 Washington Parking (Grand Canal),124 Washington Blvd
139 South Beverly Parking,139 S Beverly
1501 Main Parking,1501 Main St
18th Avenue Parking,18th Avenue
2415 Main St Parking (Edgemar),2415 Main Street
29 Windward Ave Parking,29 Windward Ave
3016 Main Parking,3016 Main Street (T2P)
601 Ocean Front Walk Parking,601 Ocean Front Walk
6125 Hollywood Blvd Parking,6125 Hollywood
909 OCEAN FRONT WALK Parking,909 OCEAN FRONT
909 (Garage) Parking,909 OCEAN FRONT
801 Speedway Parking,801 Ocean Front Walk
801 Ocean Front Walk Parking,801 Ocean Front Walk
GoodSee Parking,801 Ocean Front Walk
GoodSee,801 Ocean Front Walk
Good See Parking,801 Ocean Front Walk
Good See,801 Ocean Front Walk
407 Colorado Parking,Bank of the West
"5 Dudley ave, Venice Parking",Cadillac Hotel
25 Rose Parking,Rose Cafe
Gladstones Parking,Gladstones
155 Washington Parking,Remax (155 Washington)
220 Rose Parking,Rose Cafe
816 Washington Parking (Scopa 2),Scopa Restaurant
2913 Washington Parking (Scopa 1),Scopa Restaurant
46 Market Street Parking,Venice Market
Pardee Parking,Pardee
